Number,Name,Type,LastEruptionYear,Country,Region,EvidenceCategory,MajorRocks,MinorRocks,PopulationClose
221127,Manda Gargori,Fissure vent(s),Unknown,Ethiopia,Africa (northeastern) and Red Sea,Evidence Credible,Basalt / Picro-Basalt	Rhyolite,,1127
221115,Manda Hararo,Shield(s),2009,Ethiopia,Africa (northeastern) and Red Sea,Eruption Observed,Basalt / Picro-Basalt,,857
221122,Manda-Inakir,Fissure vent(s),1928,Ethiopia-Djibouti,Africa (northeastern) and Red Sea,Eruption Observed,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,,1130
225006,Manzaz Volcanic Field,Pyroclastic cone(s),Unknown,Algeria,Africa (northern),Evidence Credible,Trachybasalt / Tephrite Basanite	Basalt / Picro-Basalt,,1196
261140,Marapi,Complex,2018,Indonesia,Sumatra,Eruption Observed,Andesite / Basaltic Andesite	Trachyandesite / Basaltic Trachyandesite	Basalt / Picro-Basalt,,57453
353080,Marchena,Shield,1991,Ecuador,Galapagos Islands,Eruption Observed,Basalt / Picro-Basalt,,785
268062,Mare,Stratovolcano,Unknown,Indonesia,Halmahera,Evidence Credible,Andesite / Basaltic Andesite,,20821
231100,"Marha, Jabal el-",Tuff cone,Unknown,Yemen,Middle East (southern),Evidence Uncertain,Basalt / Picro-Basalt,,215379
284305,Mariana Back-Arc Segment at 15.5°N,Submarine,2015,United States,"Izu, Volcano, and Mariana Islands",Eruption Dated,,,0
357092,"Mariñaqui, Laguna",Pyroclastic cone(s),Unknown,Chile,Central Chile and Argentina,Evidence Credible,Andesite / Basaltic Andesite,,314
234070,Marion Island,Shield(s),2004,South Africa,Indian Ocean (southern),Eruption Observed,Basalt / Picro-Basalt	Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,0
273081,Mariveles,Stratovolcano,-2050,Philippines,Luzon,Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,48079
327040,Markagunt Plateau,Volcanic field,1050,United States,USA (Utah),Evidence Credible,Basalt / Picro-Basalt	Andesite / Basaltic Andesite	Trachyte / Trachydacite,Rhyolite,970
241061,Maroa,Caldera(s),180,New Zealand,New Zealand,Eruption Dated,Rhyolite,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,532
225030,"Marra, Jebel",Volcanic field,-2000,Sudan,Africa (northern),Eruption Dated,Basalt / Picro-Basalt	Trachyte / Trachydacite	Trachybasalt / Tephrite Basanite,,8692
